stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
c7d4397c-94af-415e-8e5f-e0a0a7c1f299,1707,Pratt/Kraft Wbnd,761,37.20114,-80.41065,0
00b29d77-ad9a-4fe2-933d-f2af6d6ed821,1716,Research Ctr/N Knollwood Nbnd,824,37.19998,-80.40532,0
d9fc8b5e-a051-4bb3-8ac9-9659daa07ae7,1708,Pratt Dr/Garvin Bldg Nbnd,762,37.20169,-80.41171,0
d2490ca4-967d-459c-849a-215199e4cf09,1706,Kraft/Tech Center Dr Sbnd,760,37.20429,-80.41001,0
3457e416-5ecd-4947-819b-a79f12c7a66c,1701,Pratt Dr/Garvin Bldg Sbnd,735,37.20169,-80.41173,0
7d1026f9-4174-4744-a2f3-f245bf7e2531,1709,Pratt Dr/Andrews Bldg Sbnd,746,37.20401,-80.41248,0
aef950e8-5538-4fe8-8b0c-71ffd8f25044,1702,Pratt/Kraft Ebnd,736,37.20109,-80.41074,0
3e1430e5-b968-45a3-9665-17444050e5f3,1700,Rec Fields Sbnd,734,37.21482,-80.41841,0
52cc5fc5-2ebd-4754-bb76-fae6bfb4c69f,1127,Lane Stadium S Endzone Sbnd,733,37.21853,-80.41929,0
3cfd8e06-957b-446f-b1fe-f0054366667f,1129,Coliseum Parking Lot Sbnd,742,37.22211,-80.41977,0
de69bb01-9114-4f19-a284-6e55fb4e3f88,1128,Lane Stadium S Endzone Nbnd,741,37.21852,-80.41926,0
438b371c-d2cd-44d3-83fd-6d30a4792d0a,1704,Rec Fields Nbnd,740,37.21574,-80.41868,0
b60b365a-36c6-4312-b11c-76588a1b4245,1714,Kraft/Knowledgeworks 1 Bldg Sbnd,822,37.2001,-80.4079,0
1228cb73-e92d-4a81-9376-e48a791d8e84,1715,Kraft/Moss Bldg Sbnd,823,37.20186,-80.40981,0
383b073b-447c-44f8-9780-406dec6aebeb,1703,Airport,737,37.20528,-80.40851,0
8d94d6c6-03a1-48bd-9347-3a3eced74f4d,1710,Kraft/Research Ctr Ebnd,800,37.19888,-80.40543,0
